File Name,Extracted Data
AFEQ-211215 JRZ.pdf,"Invoice Number: AFEQ-211215 JRZ
Invoice Date: 12/15/2021
Part Number: ESCANT-MOLD537, 74199999, 90318099, 73079202, 84833004, 84849099, 39269099, 90262099, 84679201, 76169999, 84818099, 90262004, 84669201
Description: APARATO PARA MEDIR DIMENSIONES, INSERTOS DE BRONCE, TOVERAS PARA MOLDE DE ALUMINIO, CONECTOR HIDRAULICO, CONECTOR DE BRONCE, JUEGO DE EMPAQUES, BRIDA, EMPAQUES DE PLASTICO PARA PISTOLA DE LLENADO, REGULADOR DE PRESION, JUEGO DE REPARACION PARA PISTON NEUMATICO, PLACA DE ALUMINIO PARA IDENTIFICACION DE MOLDES, VALVULAS PARA VAPOR, REGULADOR DE PROCESO PARA VALVULAS, JUEGO DE REPARACION
Quantity: 3, 500.000, 3,000.000, 10.000, 2.000, 2.000, 5.000, 1.000, 2.000, 1.000, 4.000, 1.000, 4.000, 1.000
Unit of Measure: EA, EA, EA, EA, EA, EA, EA, EA, SET, EA, SET, EA, SET, SET
Cost: 300.00000, 8.50000, 1.02000, 2.60000, 1.14200, 0.51000, 4.53590, 6.23000, 0.17100, 1.20000, 68.03880, 10.40000, 0.90718
Weight: KGS, KGS, KGS, KGS, KGS, KGS, KGS, KGS, KGS, KGS, KGS, KGS, KGS
Country of Origin: USA, CHN, USA, DEU, DEU, DEU, DEU, DEU, TWN, USA, DEU, DEU, DEU
Supplier: TEGRA T DE MEXICO S.A. DE C.V., TEGANT INTERNATIONAL, INC., TEGANT INTERNATIONAL, INC., TEGANT INTERNATIONAL, INC., TEGANT INTERNATIONAL, INC., TEGANT INTERNATIONAL, INC., TEGANT INTERNATIONAL, INC., TEGANT INTERNATIONAL, INC., TEGANT INTERNATIONAL, INC., TEGANT INTERNATIONAL, INC., TEGANT INTERNATIONAL, INC., TEGANT INTERNATIONAL, INC., TEGANT INTERNATIONAL, INC."
AFEQ-220302-J.pdf,"Invoice Number: AFEQ-220302-J
Invoice Date: 03/02/2022
Part Number: TOVERAS, TORNILLOS, BUJES DE PLASTICO, PUNTA PARA FLECHA GRANDE, JUEGO DE EMPAQUES, EMPAQUES DE CAUCHO
Description: TOVERAS PARA MOLDE DE ALUMINIO, TORNILLOS DE METAL, BUJES DE PLASTICO, PUNTA PARA FLECHA GRANDE, JUEGO DE EMPAQUES, EMPAQUES DE CAUCHO
Quantity: 5.60000 (TOVERAS), 8.74000 (TORNILLOS), 0.35694 (BUJES DE PLASTICO), 0.09525 (PUNTA PARA FLECHA GRANDE), 0.25500 (JUEGO DE EMPAQUES), 0.13608 (EMPAQUES DE CAUCHO), 3.10000 (TORNILLOS)
Unit of Measure: EA
Cost: 0.39140 (TOVERAS), 1.20000 (TORNILLOS), 135.00000 (BUJES DE PLASTICO), 89.00000 (PUNTA PARA FLECHA GRANDE), 109.00000 (JUEGO DE EMPAQUES), 20.00000 (EMPAQUES DE CAUCHO), 0.06500 (TORNILLOS)
Weight: 5.60000 KGS (TOVERAS), 8.74000 KGS (TORNILLOS), 0.35694 KGS (BUJES DE PLASTICO), 0.09525 KGS (PUNTA PARA FLECHA GRANDE), 0.25500 KGS (JUEGO DE EMPAQUES), 0.13608 KGS (EMPAQUES DE CAUCHO), 3.10000 KGS (TORNILLOS)
Country of Origin: USA (TOVERAS), MYS (TORNILLOS), USA (BUJES DE PLASTICO), USA (PUNTA PARA FLECHA GRANDE), USA (JUEGO DE EMPAQUES), USA (EMPAQUES DE CAUCHO), USA (TORNILLOS)
Supplier: TEGRANT INTERNATIONAL INC."
AFEQ-220316 JRZ.pdf,"I have extracted the following fields from the invoice:

Invoice Number: AFEQ-220316 JRZ
Invoice Date: 03/16/2022
Part Number: WH04.00.011, LN02.05.001.01, LN02.05.003.00, WH04.00.101, WSF050X0125, WSR050SS, WSR031SS, WSF031X0075, WSF037X0087, WSR037SS, WSR025SS, WSF025X0062
Description: MANOMETRO, CONECTOR DE BRONCE, BUJES DE BRONCE, ARANDELAS DE BRONCE
Quantity: 1.000EA, 4.000EA, 500.000EA, 471.000EA, 100.000EA, 102.000EA, 100.000EA
Unit of Measure: EA
Cost: 1.43000, 0.72576, 10.54000, 9.20000, 45.35900, 46.26618, 6.30000
Weight: KGS
Country of Origin: PHL, DEU, TWN, ITA
Supplier: TTEGRANT INTERNATIONAL, INC."
AFEQ-220323 JRZ.pdf,"Invoice Number: AFEQ-220323 JRZ
Invoice Date: 03/23/2022
Part Number: 39269099, 90262099, 84779004, 61143002
Description: JUEGO DE EMPAQUES PLASTICO, MANOMETRO, DISCO PARA MAQUINA DE MOLDEO, MANDILES ANTICORTE (PARA PROTECCION)
Quantity: 1.000 SET, 9.000 EA, 2.000 EA, 20.000 EA
Unit of Measure: SET, EA, EA, EA
Cost: 134.04000, 10.28000, 203.90000, 35.45000
Weight: 0.15876 KGS, 1.28700 KGS, 1.49686 KGS, 9.52540 KGS
Country of Origin: DEU, POL, DEU, USA
Supplier: TEGRANT INTERNATIONAL, INC."
AFEQ-220404 JRZ.pdf,"Based on the provided invoice, here are the extracted fields:

Invoice Number: AFEQ-220404 JRZ
Invoice Date: 04/04/2022

Part Number: 84136099 (BOMBA PARA AGUAS RESIDUALES)
Description: BOMBA PARA AGUAS RESIDUALES
Quantity: 1.000 EA
Unit of Measure: EA
Cost: $7.50000

Part Number: 40169304 (EMPAQUES DE CAUCHO)
Description: EMPAQUES DE CAUCHO
Quantity: 200.000 EA
Unit of Measure: EA
Cost: $2.00000

Part Number: 83071099 (TUBOS FLEXIBLES)
Description: TUBOS FLEXIBLES
Quantity: 1.000 EA
Unit of Measure: EA
Cost: $14.32000

Part Number: 84433209 (IMPRESORA TERMICA CON ACCESORIOS)
Description: IMPRESORA TERMICA CON ACCESORIOS
Quantity: 2.000 EA
Unit of Measure: EA
Cost: $8.04000

Part Number: 73181599 (TORNILLOS DE ACERO)
Description: TORNILLOS DE ACERO
Quantity: 300.000 EA
Unit of Measure: EA
Cost: $1.30000

Country of Origin: USA (BOMBA PARA AGUAS RESIDUALES),
                   TWN (EMPAQUES DE CAUCHO, TORNILLOS DE ACERO),

Supplier: TEGRANT INTERNATIONAL INC., ONE NORTH SECOND ST., MS B04, HARTSVILLE, SC, ZIP 29550, ESTADOS UNIDOS DE AMERICA Invoice Number: AFEQ-220404 JRZ
Invoice Date: Not mentioned
Part Number: D91208-040SS, D91208-030SS, D91210-040SS, D91212-040SS, D91212-050SS, D91212-070SS, KWU025C0100410, E2K-C25MF2, LN02.03.024.01, 48744, WH04.00.006, WH04.00.007
Description: TORNILLOS DE ACERO INOXIDABLE, SENSOR DE APROXIMIDAD, SOPORTE PARA GENERADOR, VALVULA HIDRAULICA DE COMPUERTA, MANOMETRO, JUEGO DE
Quantity: 100.000EA, 1,500.000EA, 1.000EA, 2.000EA, 1.000EA, 3.000EA, 3.000EA
Unit of Measure: EA
Cost: 0.28000, 0.34000, 0.68000, 0.75000, 0.85000, 1.20000, 0.14500, 259.30000, 285.77000, 216.31000, 16.40000, 19.69000
Weight: 0.63200, 0.63200, 0.63200, 0.11100, 10.23000, 0.37557, 1.36078, 2.26796, 0.68040
Country of Origin: TWN, TWN, TWN, TWN, TWN, TWN, TWN, JPN, DEU, DEU, POL, DEU
Supplier: Not mentioned Invoice Number: AFEQ-220404 JRZ
Invoice Date: Not specified
Part Number: 84679201, 90262099, 40169304, 85011010
Description: JUEGO DE REPARACION PARA PISTON NEUMATICO, REGULADORES DE PRESION, SELLOS PARA VALVULA NEUMATICA, GENERADOR PARA MAQUINA
Quantity: 1.000SET, 1.000EA, 3.000SET, 1.000EA
Unit of Measure: SET, EA, SET, EA
Cost: 278.61000, 263.30000, 154.74000, 343.43000
Weight: Not specified
Country of Origin: DEU, DEU, GBR, DEU
Supplier: Not specified"
AFEQ-220414 JRZ.pdf,"Invoice Number: AFEQ-220414 JRZ
Invoice Date: 04/14/2022
Part Number: WC51.12.001, WC50.22.006, WC15.03.001, 17367
Description: REGULADOR ELECTRICO DE PRESION, EMPAQUES DE PLASTICO PARA PISTOLA DE LLENADO, COPLE DE ACERO, VALVULA HIDRAULICA DE COMPUERTA
Quantity: 1.000EA, 100.000EA, 3.000EA, 2.000EA
Unit of Measure: BULTOS, BULTOS, BULTOS, BULTOS
Cost: 2.35000, 3.81000, 30.23000, 407.92000
Weight: 2.35000 KGS, 0.20000 KGS, 0.57000 KGS, 4.53592 KGS
Country of Origin: DEU, TWN, DEU, CHN
Supplier: GEMU, GEMU, GEMU, RECIBO1013582"
BRENA-220330.pdf,"Here are the extracted fields from the provided invoice:

Invoice Number: BRENA-220330
Invoice Date: 03/31/2022
Part Number: 4802734
Description: PARTES MOLDEADAS DE POLIPROPILENO (AUT)
Quantity: 368.000
Unit of Measure: EA
Cost: 27.60000 USD
Weight: 27.60000 KGS
Country of Origin: MEX
Supplier: TEGRANT INTERNATIONAL, INC."
BRP-220302 J.pdf,"Invoice Number: BRP-220302 J
Invoice Date: 03/02/2022
Part Number: 521000110, 521000111, 521000112, 521000113, 703101287, 521000069, 521000049
Description: PARTES MOLDEADAS DE POLIESTIRENO (EMP)
Quantity: 70.000EA, 80.000EA, 90.000EA, 90.000EA, 600.000EA, 1,000.000EA, 803.000EA
Unit of Measure: EA
Cost: 7.71540, 24.16000, 28.37250, 31.42800, 41.34000, 128.82000, 65.56495
Weight: 7.71540 KGS, 24.16000 KGS, 28.37250 KGS, 31.42800 KGS, 41.34000 KGS, 128.82000 KGS, 65.56495 KGS
Country of Origin: MEX
Supplier: TEGRANT INTERNATIONAL, INC. Invoice Number: BRP-220302 J
Invoice Date: N/A (not provided in the text)
Part Number 1: 521000077
Description 1: SOPORTE SUPERIOR DERECHO
Quantity 1: 48.000
Unit of Measure 1: EA
Cost 1: 5.55216
Weight 1: 54.24000
Country of Origin 1: MEX
Supplier 1: N/A (not provided in the text)

Part Number 2: 521000031
Description 2: PARTES MOLDEADAS DE POLIESTIRENO (EMP)
Quantity 2: 96.000
Unit of Measure 2: EA
Cost 2: 11.10432
Weight 2: 108.48000
Country of Origin 2: MEX
Supplier 2: N/A (not provided in the text)

Part Number 3: 521000094
Description 3: PARTES MOLDEADAS DE POLIESTIRENO (EMP)
Quantity 3: 54.000
Unit of Measure 3: EA
Cost 3: 6.95628
Weight 3: 43.74000
Country of Origin 3: MEX
Supplier 3: N/A (not provided in the text)

Part Number 4: 521000095
Description 4: PARTES MOLDEADAS DE POLIESTIRENO (EMP)
Quantity 4: 270.000
Unit of Measure 4: EA
Cost 4: 34.78140
Weight 4: 218.70000
Country of Origin 4: MEX
Supplier 4: N/A (not provided in the text)"
BRP-220316 J.pdf,"Invoice Number: BRP-220316 J
Invoice Date: 03/16/2022
Part Number 1: 703101287
Description 1: PARTES MOLDEADAS DE POLIESTIRENO
Quantity 1: 800.000 EA
Unit of Measure 1: KGS
Cost 1: 55.12000
Weight 1: 1.43000
Country of Origin 1: MEX
Supplier: TEGRANT INTERNATIONAL, INC.

Part Number 2: 87089999
Description 2: SOPORTE PARA HUACAL
Quantity 2: 400.000 EA
Unit of Measure 2: KGS
Cost 2: 69.49200
Weight 2: 3.03000
Country of Origin 2: MEX
Supplier: TEGRANT INTERNATIONAL, INC."
0255.pdf,"I can certainly help you with that. Please provide me with the invoice document or the specific details from it, and I will extract the requested fields for you."
